########## REPORT GEN: 2 ##########
SPECIES: 
Toney          		Mean: 152.12 		Best: 908.91 		N:6
Deremer        		Mean: 304.98 		Best: 907.21 		N:3
Grove          		Mean: 114.21 		Best: 900.79 		N:8
Rose           		Mean: 91.38 		Best: 900.79 		N:10
Hutson         		Mean: 101.35 		Best: 900.75 		N:9
Fletcher       		Mean: 91.14 		Best: 900.75 		N:10
Roth           		Mean: 130.11 		Best: 900.72 		N:7
Pestana        		Mean: 82.8 		Best: 900.54 		N:11
Stinger        		Mean: 113.8 		Best: 900.66 		N:8
Day            		Mean: 101.05 		Best: 900.42 		N:9
Smith          		Mean: 454.19 		Best: 900.4 		N:2
Franklin       		Mean: 302.71 		Best: 900.39 		N:3
Houlihan       		Mean: 129.94 		Best: 900.39 		N:7
Roberts        		Mean: 302.79 		Best: 900.4 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Spinks         		Mean: 182.73 		Best: 913.67 		N:5
Toney          		Mean: 130.13 		Best: 913.67 		N:7
Covino         		Mean: 152.14 		Best: 911.79 		N:6
Liles          		Mean: 114.23 		Best: 911.79 		N:8
Pestana        		Mean: 101.95 		Best: 911.79 		N:9
Rose           		Mean: 114.3 		Best: 908.91 		N:8
Villamar       		Mean: 304.08 		Best: 907.21 		N:3
Stinger        		Mean: 152.23 		Best: 900.79 		N:6
