########## REPORT GEN: 2 ##########
SPECIES: 
Jones          		Mean: 1.95 		Best: 7.77 		Nº:2
Jackson        		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 18 ##########
SPECIES: 
Oconnor        		Mean: 1.31 		Best: 9.6 		Nº:6
Rooker         		Mean: 0.73 		Best: 9.6 		Nº:5
Magana         		Mean: 0.77 		Best: 9.6 		Nº:7
Stoica         		Mean: 1.09 		Best: 9.6 		Nº:4
Clary          		Mean: 0.51 		Best: 9.6 		Nº:6
Edward         		Mean: 2.9  		Best: 9.6 		Nº:3
Schluter       		Mean: 3.01 		Best: 9.6 		Nº:3
Cole           		Mean: 1.09 		Best: 9.6 		Nº:4
Haine          		Mean: 2.14 		Best: 9.6 		Nº:3
Crow           		Mean: 4.34 		Best: 9.6 		Nº:2
Rodriguez      		Mean: 1.01 		Best: 8.71 		Nº:5
Sanchez        		Mean: 0.98 		Best: 8.71 		Nº:3
Mcbride        		Mean: 0.55 		Best: 8.71 		Nº:4
Combs          		Mean: 0.97 		Best: 8.71 		Nº:3
Vick           		Mean: 2.18 		Best: 8.71 		Nº:2
Lavoie         		Mean: 1.03 		Best: 8.71 		Nº:4
Headley        		Mean: 1.03 		Best: 8.71 		Nº:4
Kidd           		Mean: 1.03 		Best: 8.71 		Nº:4
Holcombe       		Mean: 0.97 		Best: 8.71 		Nº:3
Cochran        		Mean: 0.87 		Best: 7.77 		Nº:3
Jones          		Mean: 0.49 		Best: 7.77 		Nº:4
Jackson        		Mean: 1.95 		Best: 7.77 		Nº:2
Ransdell       		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 19 ##########
SPECIES: 
Oconnor        		Mean: 0.75 		Best: 9.6 		Nº:6
Clary          		Mean: 1.09 		Best: 9.6 		Nº:4
Edward         		Mean: 1.16 		Best: 9.6 		Nº:6
Schluter       		Mean: 1.16 		Best: 9.6 		Nº:6
Haine          		Mean: 0.48 		Best: 9.6 		Nº:6
Crow           		Mean: 2.12 		Best: 9.6 		Nº:4
Rodriguez      		Mean: 2.29 		Best: 9.6 		Nº:4
Combs          		Mean: 2.17 		Best: 9.6 		Nº:4
Vick           		Mean: 1.8  		Best: 9.6 		Nº:4
Kidd           		Mean: 0.73 		Best: 9.6 		Nº:5
Jones          		Mean: 2.4  		Best: 9.6 		Nº:2
Jackson        		Mean: 1.15 		Best: 9.6 		Nº:4
Magana         		Mean: 1.83 		Best: 8.71 		Nº:3
Stoica         		Mean: 0.35 		Best: 8.71 		Nº:5
Cole           		Mean: 0.97 		Best: 8.71 		Nº:5
Sanchez        		Mean: 1.04 		Best: 8.71 		Nº:4
Cochran        		Mean: 1.03 		Best: 8.71 		Nº:4
Rooker         		Mean: 0.87 		Best: 7.77 		Nº:3
Lavoie         		Mean: 1.46 		Best: 7.77 		Nº:4
Headley        		Mean: 0.94 		Best: 7.77 		Nº:5
Mcbride        		Mean: 0.0  		Best: 0.0 		Nº:2
Holcombe       		Mean: 0.0  		Best: 0.0 		Nº:4
Ransdell       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 20 ##########
SPECIES: 
Oconnor        		Mean: 0.6  		Best: 9.6 		Nº:4
Clary          		Mean: 0.27 		Best: 9.6 		Nº:6
Edward         		Mean: 1.45 		Best: 9.6 		Nº:6
Schluter       		Mean: 1.02 		Best: 9.6 		Nº:6
Crow           		Mean: 0.8  		Best: 9.6 		Nº:8
Rodriguez      		Mean: 0.53 		Best: 9.6 		Nº:8
Combs          		Mean: 0.54 		Best: 9.6 		Nº:8
Vick           		Mean: 0.82 		Best: 9.6 		Nº:8
Kidd           		Mean: 1.36 		Best: 9.6 		Nº:5
Jones          		Mean: 1.15 		Best: 9.6 		Nº:4
Magana         		Mean: 1.47 		Best: 9.6 		Nº:6
Cole           		Mean: 1.46 		Best: 9.6 		Nº:5
Cochran        		Mean: 0.53 		Best: 9.6 		Nº:6
Lavoie         		Mean: 0.69 		Best: 9.6 		Nº:8
Headley        		Mean: 1.5  		Best: 9.6 		Nº:5
Stoica         		Mean: 2.18 		Best: 8.71 		Nº:2
Sanchez        		Mean: 0.24 		Best: 8.71 		Nº:6
Rooker         		Mean: 1.01 		Best: 8.71 		Nº:5
Jackson        		Mean: 0.43 		Best: 7.77 		Nº:6
Haine          		Mean: 0.0  		Best: 0.0 		Nº:3
Holcombe       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 21 ##########
SPECIES: 
Crow           		Mean: 2.23 		Best: 9.6 		Nº:4
Kidd           		Mean: 0.74 		Best: 9.6 		Nº:5
Jones          		Mean: 0.6  		Best: 9.6 		Nº:4
Magana         		Mean: 1.18 		Best: 9.6 		Nº:6
Cochran        		Mean: 1.07 		Best: 9.6 		Nº:3
Headley        		Mean: 0.94 		Best: 9.6 		Nº:6
Stoica         		Mean: 1.15 		Best: 9.6 		Nº:4
Rooker         		Mean: 0.6  		Best: 9.6 		Nº:4
Clary          		Mean: 0.97 		Best: 8.71 		Nº:3
Edward         		Mean: 0.81 		Best: 8.71 		Nº:7
Rodriguez      		Mean: 1.52 		Best: 8.71 		Nº:4
Vick           		Mean: 1.57 		Best: 8.71 		Nº:4
Cole           		Mean: 0.7  		Best: 8.71 		Nº:6
Sanchez        		Mean: 1.94 		Best: 8.71 		Nº:3
Mcbride        		Mean: 4.36 		Best: 8.71 		Nº:2
Ransdell       		Mean: 4.36 		Best: 8.71 		Nº:2
Schluter       		Mean: 0.49 		Best: 7.77 		Nº:4
Combs          		Mean: 1.46 		Best: 7.77 		Nº:4
Lavoie         		Mean: 0.49 		Best: 7.77 		Nº:4
Jackson        		Mean: 0.87 		Best: 7.77 		Nº:3
Holcombe       		Mean: 1.95 		Best: 7.77 		Nº:2

########## REPORT GEN: 22 ##########
SPECIES: 
Crow           		Mean: 0.94 		Best: 9.6 		Nº:8
Magana         		Mean: 1.5  		Best: 9.6 		Nº:5
Stoica         		Mean: 0.73 		Best: 9.6 		Nº:5
Rooker         		Mean: 1.07 		Best: 9.6 		Nº:3
Edward         		Mean: 1.64 		Best: 9.6 		Nº:4
Vick           		Mean: 0.89 		Best: 9.6 		Nº:7
Cole           		Mean: 2.9  		Best: 9.6 		Nº:3
Mcbride        		Mean: 2.18 		Best: 9.6 		Nº:4
Ransdell       		Mean: 2.17 		Best: 9.6 		Nº:4
Combs          		Mean: 0.91 		Best: 9.6 		Nº:7
Jackson        		Mean: 1.08 		Best: 9.6 		Nº:5
Holcombe       		Mean: 1.15 		Best: 9.6 		Nº:4
Cochran        		Mean: 0.35 		Best: 8.71 		Nº:5
Headley        		Mean: 2.01 		Best: 8.71 		Nº:4
Rodriguez      		Mean: 0.18 		Best: 8.71 		Nº:7
Sanchez        		Mean: 0.95 		Best: 8.71 		Nº:6
