########## REPORT GEN: 2 ##########
SPECIES: 
Norman         		Mean: 227.21 		Best: 905.92 		N:4
Klaus          		Mean: 90.35 		Best: 897.45 		N:10
Gordon         		Mean: 128.89 		Best: 897.45 		N:7

########## REPORT GEN: 36 ##########
SPECIES: 
Grant          		Mean: 306.88 		Best: 938.82 		N:3
George         		Mean: 114.51 		Best: 938.82 		N:8
Darden         		Mean: 82.69 		Best: 916.97 		N:11
Oliver         		Mean: 130.3 		Best: 915.71 		N:7
Dobson         		Mean: 130.34 		Best: 915.19 		N:7
Brandt         		Mean: 151.67 		Best: 912.84 		N:6
Klaus          		Mean: 113.77 		Best: 912.67 		N:8
Joseph         		Mean: 304.05 		Best: 911.97 		N:3
Mcgown         		Mean: 181.5 		Best: 911.97 		N:5
Norman         		Mean: 129.42 		Best: 905.92 		N:7
Darden         		Mean: 150.54 		Best: 897.45 		N:6
Gordon         		Mean: 150.63 		Best: 897.45 		N:6

########## REPORT GEN: 37 ##########
SPECIES: 
Dobson         		Mean: 183.44 		Best: 938.82 		N:5
Norman         		Mean: 130.31 		Best: 938.82 		N:7
George         		Mean: 129.71 		Best: 916.97 		N:7
Gordon         		Mean: 130.22 		Best: 915.71 		N:7
Mcgown         		Mean: 130.09 		Best: 915.19 		N:7
Darden         		Mean: 456.31 		Best: 915.19 		N:2
Joseph         		Mean: 151.53 		Best: 913.57 		N:6
Grant          		Mean: 455.6 		Best: 911.97 		N:2
