########## REPORT GEN: 2 ##########
SPECIES: 
Whitaker       		Mean: 21.58 		Best: 177.1 		Nº:4
Leggett        		Mean: 20.93 		Best: 177.1 		Nº:7
Caines         		Mean: 86.2 		Best: 177.1 		Nº:2
Holloway       		Mean: 44.5 		Best: 177.1 		Nº:2
Gray           		Mean: 19.77 		Best: 177.1 		Nº:3
Roloff         		Mean: 44.31 		Best: 177.1 		Nº:2
Wright         		Mean: 44.6 		Best: 177.1 		Nº:2
Desrochers     		Mean: 21.0 		Best: 167.72 		Nº:4
Jaquez         		Mean: 31.51 		Best: 167.72 		Nº:4
Roussell       		Mean: 13.46 		Best: 167.72 		Nº:5
Huppert        		Mean: 13.99 		Best: 167.72 		Nº:6
Morrow         		Mean: 18.7 		Best: 167.72 		Nº:3
Bubrig         		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 13 ##########
SPECIES: 
Richardson     		Mean: 19.74 		Best: 185.97 		Nº:6
Stephens       		Mean: 19.17 		Best: 185.97 		Nº:6
Cortez         		Mean: 59.02 		Best: 185.97 		Nº:3
Davis          		Mean: 33.2 		Best: 185.97 		Nº:4
Wilson         		Mean: 45.01 		Best: 185.97 		Nº:4
Montgomery     		Mean: 11.65 		Best: 185.97 		Nº:4
Franklin       		Mean: 14.82 		Best: 185.97 		Nº:6
Whitaker       		Mean: 34.38 		Best: 185.97 		Nº:4
Leggett        		Mean: 43.72 		Best: 185.97 		Nº:4
Caines         		Mean: 44.8 		Best: 185.97 		Nº:4
Holloway       		Mean: 23.36 		Best: 185.97 		Nº:4
Gray           		Mean: 32.79 		Best: 185.97 		Nº:4
Desrochers     		Mean: 33.23 		Best: 185.97 		Nº:4
Jaquez         		Mean: 14.52 		Best: 185.97 		Nº:6
Carter         		Mean: 44.36 		Best: 177.1 		Nº:2
Leland         		Mean: 32.65 		Best: 177.1 		Nº:4
Richards       		Mean: 32.1 		Best: 177.1 		Nº:4
Roloff         		Mean: 11.08 		Best: 177.1 		Nº:4
Wright         		Mean: 11.18 		Best: 177.1 		Nº:4
Huppert        		Mean: 57.03 		Best: 177.1 		Nº:3
Zins           		Mean: 37.27 		Best: 167.72 		Nº:3
Compton        		Mean: 10.56 		Best: 167.72 		Nº:4
Bubrig         		Mean: 42.06 		Best: 167.72 		Nº:2
Winfield       		Mean: 0.0  		Best: 0.0 		Nº:4
Roussell       		Mean: 0.0  		Best: 0.0 		Nº:2
Morrow         		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 14 ##########
SPECIES: 
Stephens       		Mean: 33.23 		Best: 185.97 		Nº:4
Davis          		Mean: 17.87 		Best: 185.97 		Nº:7
Wilson         		Mean: 19.74 		Best: 185.97 		Nº:8
Montgomery     		Mean: 46.59 		Best: 185.97 		Nº:2
Franklin       		Mean: 11.7 		Best: 185.97 		Nº:4
Leggett        		Mean: 19.09 		Best: 185.97 		Nº:8
Caines         		Mean: 16.46 		Best: 185.97 		Nº:8
Gray           		Mean: 28.9 		Best: 185.97 		Nº:6
Desrochers     		Mean: 21.9 		Best: 185.97 		Nº:7
Leland         		Mean: 10.35 		Best: 185.97 		Nº:6
Richards       		Mean: 15.01 		Best: 185.97 		Nº:6
Wright         		Mean: 46.78 		Best: 185.97 		Nº:2
Huppert        		Mean: 15.02 		Best: 185.97 		Nº:6
Zins           		Mean: 20.17 		Best: 185.97 		Nº:6
Richardson     		Mean: 32.71 		Best: 177.1 		Nº:4
Cortez         		Mean: 14.25 		Best: 177.1 		Nº:6
Whitaker       		Mean: 7.05 		Best: 177.1 		Nº:7
Carter         		Mean: 11.09 		Best: 177.1 		Nº:4
Roloff         		Mean: 44.31 		Best: 177.1 		Nº:2
Winfield       		Mean: 44.47 		Best: 177.1 		Nº:2
Jaquez         		Mean: 18.68 		Best: 167.72 		Nº:3
Compton        		Mean: 42.16 		Best: 167.72 		Nº:2
Holloway       		Mean: 0.0  		Best: 0.0 		Nº:4
Bubrig         		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 15 ##########
SPECIES: 
Stephens       		Mean: 22.2 		Best: 185.97 		Nº:8
Wilson         		Mean: 28.09 		Best: 185.97 		Nº:5
Leggett        		Mean: 35.78 		Best: 185.97 		Nº:5
Caines         		Mean: 44.82 		Best: 185.97 		Nº:4
Desrochers     		Mean: 24.34 		Best: 185.97 		Nº:6
Leland         		Mean: 40.42 		Best: 185.97 		Nº:3
Wright         		Mean: 11.69 		Best: 185.97 		Nº:4
Huppert        		Mean: 33.78 		Best: 185.97 		Nº:4
Zins           		Mean: 28.68 		Best: 185.97 		Nº:5
Richardson     		Mean: 19.25 		Best: 185.97 		Nº:8
Whitaker       		Mean: 40.39 		Best: 185.97 		Nº:3
Roloff         		Mean: 14.67 		Best: 185.97 		Nº:5
Jaquez         		Mean: 7.46 		Best: 185.97 		Nº:5
Holloway       		Mean: 46.73 		Best: 185.97 		Nº:2
Bubrig         		Mean: 90.8 		Best: 185.97 		Nº:2
Franklin       		Mean: 38.64 		Best: 177.1 		Nº:3
Richards       		Mean: 32.68 		Best: 177.1 		Nº:4
Cortez         		Mean: 38.35 		Best: 177.1 		Nº:3
Carter         		Mean: 19.69 		Best: 177.1 		Nº:3
Winfield       		Mean: 11.14 		Best: 177.1 		Nº:4
Davis          		Mean: 10.49 		Best: 167.72 		Nº:4
Montgomery     		Mean: 21.01 		Best: 167.72 		Nº:4
Gray           		Mean: 10.54 		Best: 167.72 		Nº:8
Compton        		Mean: 10.56 		Best: 167.72 		Nº:4

########## REPORT GEN: 16 ##########
SPECIES: 
Stephens       		Mean: 22.8 		Best: 185.97 		Nº:4
Wilson         		Mean: 44.47 		Best: 185.97 		Nº:4
Leggett        		Mean: 25.11 		Best: 185.97 		Nº:6
Caines         		Mean: 8.46 		Best: 185.97 		Nº:8
Desrochers     		Mean: 44.31 		Best: 185.97 		Nº:4
Huppert        		Mean: 18.3 		Best: 185.97 		Nº:7
Zins           		Mean: 25.13 		Best: 185.97 		Nº:6
Roloff         		Mean: 92.98 		Best: 185.97 		Nº:2
Holloway       		Mean: 22.23 		Best: 185.97 		Nº:4
Bubrig         		Mean: 33.76 		Best: 185.97 		Nº:4
Franklin       		Mean: 24.24 		Best: 185.97 		Nº:6
Cortez         		Mean: 7.61 		Best: 185.97 		Nº:7
Morrow         		Mean: 46.51 		Best: 185.97 		Nº:2
Montgomery     		Mean: 14.57 		Best: 185.97 		Nº:5
Gray           		Mean: 33.4 		Best: 185.97 		Nº:4
Compton        		Mean: 46.72 		Best: 185.97 		Nº:2
Leland         		Mean: 14.52 		Best: 177.1 		Nº:6
Richardson     		Mean: 32.66 		Best: 177.1 		Nº:4
Jaquez         		Mean: 44.36 		Best: 177.1 		Nº:2
Richards       		Mean: 7.11 		Best: 177.1 		Nº:5
Winfield       		Mean: 44.46 		Best: 177.1 		Nº:2
Roussell       		Mean: 87.14 		Best: 177.1 		Nº:2
Wright         		Mean: 18.77 		Best: 167.72 		Nº:3
Whitaker       		Mean: 4.68 		Best: 167.72 		Nº:6
Carter         		Mean: 18.64 		Best: 167.72 		Nº:3
Davis          		Mean: 37.36 		Best: 167.72 		Nº:3

########## REPORT GEN: 17 ##########
SPECIES: 
Stephens       		Mean: 21.31 		Best: 185.97 		Nº:5
Wilson         		Mean: 14.17 		Best: 185.97 		Nº:8
