########## REPORT GEN: 2 ##########
SPECIES: 
Berry          		Mean: 114.74 		Best: 914.29 		N:8
Patterson      		Mean: 152.64 		Best: 914.09 		N:6

########## REPORT GEN: 18 ##########
SPECIES: 
Hernandez      		Mean: 157.43 		Best: 941.16 		N:6
Roberts        		Mean: 237.21 		Best: 941.16 		N:4
Travis         		Mean: 188.65 		Best: 941.16 		N:5
Curry          		Mean: 93.08 		Best: 929.42 		N:10
Berry          		Mean: 115.28 		Best: 929.09 		N:8
Patterson      		Mean: 153.89 		Best: 925.49 		N:6
Smith          		Mean: 185.63 		Best: 923.22 		N:5
Brooks         		Mean: 231.32 		Best: 921.58 		N:4
Stull          		Mean: 133.0 		Best: 921.58 		N:7
Bailey         		Mean: 183.81 		Best: 919.74 		N:5
Argueta        		Mean: 305.95 		Best: 917.18 		N:3
Canter         		Mean: 229.16 		Best: 915.95 		N:4
Drake          		Mean: 305.69 		Best: 914.26 		N:3
Wolf           		Mean: 152.52 		Best: 913.6 		N:6

########## REPORT GEN: 19 ##########
SPECIES: 
Argueta        		Mean: 310.85 		Best: 941.16 		N:3
Roberts        		Mean: 234.6 		Best: 941.16 		N:4
Travis         		Mean: 134.37 		Best: 941.16 		N:7
Curry          		Mean: 313.87 		Best: 941.16 		N:3
Hernandez      		Mean: 231.4 		Best: 934.53 		N:4
Drake          		Mean: 184.92 		Best: 929.09 		N:5
Brooks         		Mean: 132.37 		Best: 927.79 		N:7
Wolf           		Mean: 230.88 		Best: 925.49 		N:4
Stull          		Mean: 465.26 		Best: 923.72 		N:2
Smith          		Mean: 153.96 		Best: 923.22 		N:6
Schweiger      		Mean: 185.43 		Best: 921.97 		N:5
Bailey         		Mean: 183.55 		Best: 919.95 		N:5
Canter         		Mean: 131.56 		Best: 919.83 		N:7
Patterson      		Mean: 229.3 		Best: 914.15 		N:4
Berry          		Mean: 228.9 		Best: 913.77 		N:4
Mccown         		Mean: 302.45 		Best: 909.23 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Curry          		Mean: 475.52 		Best: 941.16 		N:2
Roberts        		Mean: 316.77 		Best: 941.16 		N:3
Travis         		Mean: 235.56 		Best: 941.16 		N:4
Stull          		Mean: 469.63 		Best: 941.16 		N:2
Schweiger      		Mean: 131.45 		Best: 934.53 		N:7
Hernandez      		Mean: 155.06 		Best: 930.33 		N:6
Berry          		Mean: 184.86 		Best: 929.09 		N:5
Brooks         		Mean: 233.76 		Best: 927.79 		N:4
Patterson      		Mean: 102.27 		Best: 925.49 		N:9
Bailey         		Mean: 182.8 		Best: 919.95 		N:5
Argueta        		Mean: 152.64 		Best: 919.01 		N:6
Canter         		Mean: 183.31 		Best: 915.95 		N:5
Smith          		Mean: 102.76 		Best: 914.26 		N:9
Wolf           		Mean: 305.36 		Best: 914.15 		N:3
Mccown         		Mean: 91.05 		Best: 911.11 		N:10

########## REPORT GEN: 21 ##########
SPECIES: 
Curry          		Mean: 135.22 		Best: 941.16 		N:7
Roberts        		Mean: 189.26 		Best: 941.16 		N:5
Travis         		Mean: 134.75 		Best: 941.16 		N:7
Stull          		Mean: 313.14 		Best: 941.16 		N:3
Schweiger      		Mean: 235.35 		Best: 941.16 		N:4
Argueta        		Mean: 234.82 		Best: 941.16 		N:4
Pagan          		Mean: 463.92 		Best: 930.33 		N:2
Drake          		Mean: 308.43 		Best: 929.09 		N:3
Brooks         		Mean: 465.38 		Best: 927.79 		N:2
Patterson      		Mean: 185.07 		Best: 925.49 		N:5
Hernandez      		Mean: 229.53 		Best: 923.22 		N:4
Bailey         		Mean: 228.67 		Best: 919.95 		N:4
Canter         		Mean: 184.34 		Best: 919.83 		N:5
Wolf           		Mean: 183.3 		Best: 914.43 		N:5
Berry          		Mean: 458.31 		Best: 913.77 		N:2
Mccown         		Mean: 228.47 		Best: 911.11 		N:4

########## REPORT GEN: 22 ##########
SPECIES: 
Curry          		Mean: 157.87 		Best: 941.16 		N:6
Argueta        		Mean: 117.26 		Best: 941.16 		N:8
Stull          		Mean: 232.6 		Best: 941.16 		N:4
Hernandez      		Mean: 187.37 		Best: 941.16 		N:5
Bailey         		Mean: 185.25 		Best: 941.16 		N:5
Mccown         		Mean: 311.06 		Best: 941.16 		N:3
Schweiger      		Mean: 233.1 		Best: 934.53 		N:4
Smith          		Mean: 116.17 		Best: 929.09 		N:8
Brooks         		Mean: 232.56 		Best: 927.79 		N:4
Canter         		Mean: 462.52 		Best: 919.83 		N:2
Roberts        		Mean: 310.23 		Best: 915.95 		N:3
Wolf           		Mean: 458.59 		Best: 914.43 		N:2
Berry          		Mean: 229.76 		Best: 914.29 		N:4
Drake          		Mean: 458.36 		Best: 914.26 		N:2
Patterson      		Mean: 305.7 		Best: 913.6 		N:3
Travis         		Mean: 460.9 		Best: 913.38 		N:2

########## REPORT GEN: 23 ##########
SPECIES: 
Hernandez      		Mean: 85.07 		Best: 941.16 		N:11
Mccown         		Mean: 153.89 		Best: 941.16 		N:6
Schweiger      		Mean: 233.72 		Best: 934.53 		N:4
Berry          		Mean: 184.71 		Best: 929.09 		N:5
Brooks         		Mean: 186.17 		Best: 927.79 		N:5
Argueta        		Mean: 186.04 		Best: 925.49 		N:5
Roberts        		Mean: 230.5 		Best: 919.83 		N:4
Drake          		Mean: 153.31 		Best: 916.76 		N:6
Patterson      		Mean: 102.05 		Best: 914.43 		N:9
Stull          		Mean: 230.2 		Best: 914.29 		N:4
Smith          		Mean: 457.16 		Best: 914.28 		N:2
Canter         		Mean: 154.4 		Best: 915.95 		N:6
Curry          		Mean: 232.05 		Best: 919.83 		N:4
Bailey         		Mean: 303.67 		Best: 911.24 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Brooks         		Mean: 187.5 		Best: 941.16 		N:5
Stull          		Mean: 232.47 		Best: 941.16 		N:4
Curry          		Mean: 116.45 		Best: 941.16 		N:8
Schweiger      		Mean: 133.64 		Best: 934.53 		N:7
Smith          		Mean: 154.07 		Best: 929.09 		N:6
Travis         		Mean: 310.1 		Best: 925.49 		N:3
Hernandez      		Mean: 310.18 		Best: 923.7 		N:3
Argueta        		Mean: 185.94 		Best: 919.83 		N:5
Roberts        		Mean: 306.0 		Best: 915.99 		N:3
Patterson      		Mean: 229.67 		Best: 914.43 		N:4
Berry          		Mean: 305.32 		Best: 914.28 		N:3
Drake          		Mean: 228.82 		Best: 913.91 		N:4
Bailey         		Mean: 182.27 		Best: 911.24 		N:5
Mccown         		Mean: 102.48 		Best: 913.38 		N:9

########## REPORT GEN: 25 ##########
SPECIES: 
Travis         		Mean: 133.35 		Best: 941.16 		N:7
Stull          		Mean: 85.09 		Best: 941.16 		N:11
Argueta        		Mean: 116.49 		Best: 941.16 		N:8
Schweiger      		Mean: 467.71 		Best: 934.53 		N:2
Hernandez      		Mean: 153.7 		Best: 929.09 		N:6
Mccown         		Mean: 153.89 		Best: 925.49 		N:6
Brooks         		Mean: 184.39 		Best: 919.85 		N:5
Curry          		Mean: 306.25 		Best: 916.04 		N:3
Roberts        		Mean: 229.68 		Best: 915.99 		N:4
Patterson      		Mean: 114.82 		Best: 914.43 		N:8
Drake          		Mean: 455.45 		Best: 914.28 		N:2
Berry          		Mean: 152.55 		Best: 914.26 		N:6
Smith          		Mean: 184.39 		Best: 914.28 		N:5
Bailey         		Mean: 130.28 		Best: 911.24 		N:7

########## REPORT GEN: 26 ##########
SPECIES: 
Travis         		Mean: 104.48 		Best: 941.16 		N:9
Stull          		Mean: 309.19 		Best: 934.53 		N:3
Schweiger      		Mean: 234.1 		Best: 934.53 		N:4
Berry          		Mean: 132.06 		Best: 929.09 		N:7
Brooks         		Mean: 153.84 		Best: 919.85 		N:6
Curry          		Mean: 306.37 		Best: 916.04 		N:3
Roberts        		Mean: 102.14 		Best: 916.04 		N:9
Mccown         		Mean: 305.9 		Best: 914.43 		N:3
Smith          		Mean: 230.69 		Best: 914.26 		N:4
Drake          		Mean: 101.89 		Best: 914.28 		N:9
Patterson      		Mean: 305.73 		Best: 913.69 		N:3
Bailey         		Mean: 228.23 		Best: 912.23 		N:4
Argueta        		Mean: 181.86 		Best: 909.23 		N:5

########## REPORT GEN: 27 ##########
SPECIES: 
Travis         		Mean: 186.87 		Best: 941.16 		N:5
Schweiger      		Mean: 93.41 		Best: 934.53 		N:10
Stull          		Mean: 154.12 		Best: 921.97 		N:6
Hernandez      		Mean: 184.28 		Best: 919.75 		N:5
Brooks         		Mean: 230.72 		Best: 919.85 		N:4
Curry          		Mean: 229.4 		Best: 916.04 		N:4
Roberts        		Mean: 153.28 		Best: 916.04 		N:6
Smith          		Mean: 153.27 		Best: 914.43 		N:6
