########## REPORT GEN: 2 ##########
SPECIES: 
Aguilar        		Mean: 69.57 		Best: 909.39 		N:13
Collazo        		Mean: 99.89 		Best: 909.01 		N:9
Oldham         		Mean: 81.81 		Best: 907.84 		N:11
Wegner         		Mean: 112.05 		Best: 906.18 		N:8
Ferrell        		Mean: 74.7 		Best: 905.46 		N:12
Andrews        		Mean: 89.93 		Best: 902.61 		N:10
Koehn          		Mean: 74.67 		Best: 902.04 		N:12
Morris         		Mean: 128.51 		Best: 896.31 		N:7
Jones          		Mean: 81.7 		Best: 897.06 		N:11
Burke          		Mean: 149.55 		Best: 894.26 		N:6
Harris         		Mean: 89.34 		Best: 891.9 		N:10

########## REPORT GEN: 24 ##########
SPECIES: 
Burke          		Mean: 100.77 		Best: 932.49 		N:9
Harris         		Mean: 112.58 		Best: 930.15 		N:8
Tuggle         		Mean: 100.02 		Best: 929.3 		N:9
Jones          		Mean: 56.41 		Best: 926.95 		N:16
Morris         		Mean: 69.53 		Best: 926.25 		N:13
Oldham         		Mean: 90.76 		Best: 919.17 		N:10
Wegner         		Mean: 56.11 		Best: 908.67 		N:16
Lee            		Mean: 59.7 		Best: 908.82 		N:15
Ferrell        		Mean: 69.02 		Best: 908.0 		N:13
Nance          		Mean: 112.86 		Best: 907.11 		N:8
Berry          		Mean: 90.06 		Best: 906.71 		N:10
Aguilar        		Mean: 100.08 		Best: 905.09 		N:9
Koehn          		Mean: 99.3 		Best: 903.95 		N:9
Andrews        		Mean: 64.14 		Best: 902.38 		N:14
Collazo        		Mean: 63.99 		Best: 895.73 		N:14
Kotterna       		Mean: 128.76 		Best: 897.89 		N:7

########## REPORT GEN: 25 ##########
SPECIES: 
Morris         		Mean: 56.91 		Best: 932.73 		N:16
Nance          		Mean: 90.45 		Best: 931.05 		N:10
Wegner         		Mean: 50.05 		Best: 929.47 		N:18
Jones          		Mean: 69.43 		Best: 920.72 		N:13
Oldham         		Mean: 53.05 		Best: 915.15 		N:17
Tuggle         		Mean: 149.27 		Best: 910.55 		N:6
Harris         		Mean: 81.8 		Best: 910.35 		N:11
Aguilar        		Mean: 99.49 		Best: 908.02 		N:9
Collazo        		Mean: 74.77 		Best: 906.56 		N:12
Ferrell        		Mean: 63.62 		Best: 905.87 		N:14
Koehn          		Mean: 74.53 		Best: 905.83 		N:12
Burke          		Mean: 81.87 		Best: 904.06 		N:11
Andrews        		Mean: 111.87 		Best: 903.46 		N:8
Lee            		Mean: 59.99 		Best: 904.44 		N:15
Kotterna       		Mean: 128.57 		Best: 898.93 		N:7
Berry          		Mean: 81.26 		Best: 895.2 		N:11

########## REPORT GEN: 26 ##########
SPECIES: 
Berry          		Mean: 100.29 		Best: 930.89 		N:9
Nance          		Mean: 81.57 		Best: 930.38 		N:11
Oldham         		Mean: 60.01 		Best: 928.94 		N:15
Tuggle         		Mean: 69.22 		Best: 928.7 		N:13
Ferrell        		Mean: 150.26 		Best: 921.14 		N:6
Koehn          		Mean: 60.01 		Best: 915.06 		N:15
Burke          		Mean: 74.89 		Best: 907.69 		N:12
Lee            		Mean: 69.28 		Best: 905.06 		N:13
Morris         		Mean: 64.17 		Best: 908.38 		N:14
Wegner         		Mean: 89.76 		Best: 904.42 		N:10
Kotterna       		Mean: 81.68 		Best: 903.68 		N:11
Jones          		Mean: 99.36 		Best: 903.3 		N:9
Collazo        		Mean: 112.64 		Best: 904.05 		N:8
Harris         		Mean: 68.98 		Best: 900.4 		N:13
Andrews        		Mean: 63.94 		Best: 900.7 		N:14
Aguilar        		Mean: 127.42 		Best: 889.74 		N:7

########## REPORT GEN: 27 ##########
SPECIES: 
Kotterna       		Mean: 129.1 		Best: 934.39 		N:7
Oldham         		Mean: 64.15 		Best: 930.38 		N:14
Tuggle         		Mean: 151.39 		Best: 930.04 		N:6
Collazo        		Mean: 56.15 		Best: 929.87 		N:16
Aguilar        		Mean: 90.22 		Best: 927.18 		N:10
Harris         		Mean: 100.01 		Best: 917.84 		N:9
Wegner         		Mean: 89.92 		Best: 914.17 		N:10
Burke          		Mean: 52.66 		Best: 909.79 		N:17
Andrews        		Mean: 59.83 		Best: 909.07 		N:15
Morris         		Mean: 149.87 		Best: 906.37 		N:6
Nance          		Mean: 64.0 		Best: 908.62 		N:14
Koehn          		Mean: 69.04 		Best: 903.54 		N:13
Berry          		Mean: 68.79 		Best: 897.33 		N:13
Ferrell        		Mean: 52.54 		Best: 893.66 		N:17
Lee            		Mean: 148.96 		Best: 892.98 		N:6
Jones          		Mean: 148.4 		Best: 889.6 		N:6

########## REPORT GEN: 28 ##########
SPECIES: 
Kotterna       		Mean: 74.73 		Best: 934.64 		N:12
Lee            		Mean: 82.02 		Best: 930.99 		N:11
Berry          		Mean: 60.19 		Best: 930.45 		N:15
