########## REPORT GEN: 2 ##########
SPECIES: 
Deloy          		Mean: 231.06 		Best: 923.28 		N:4
Bruner         		Mean: 452.04 		Best: 900.06 		N:2
Burnham        		Mean: 151.12 		Best: 900.06 		N:6

########## REPORT GEN: 27 ##########
SPECIES: 
House          		Mean: 193.27 		Best: 952.76 		N:5
Hao            		Mean: 191.77 		Best: 952.56 		N:5
Bradley        		Mean: 118.9 		Best: 945.18 		N:8
Bruner         		Mean: 184.87 		Best: 945.18 		N:5
Wright         		Mean: 231.34 		Best: 928.2 		N:4
Oneal          		Mean: 131.89 		Best: 923.69 		N:7
Chavis         		Mean: 187.51 		Best: 923.63 		N:5
Guerrero       		Mean: 310.28 		Best: 923.28 		N:3
Sullivan       		Mean: 309.66 		Best: 923.28 		N:3
Elson          		Mean: 452.07 		Best: 900.06 		N:2
Reid           		Mean: 150.87 		Best: 900.06 		N:6
Demond         		Mean: 225.13 		Best: 900.06 		N:4
Deloy          		Mean: 226.65 		Best: 900.06 		N:4
Burnham        		Mean: 226.5 		Best: 900.06 		N:4

########## REPORT GEN: 28 ##########
SPECIES: 
Sullivan       		Mean: 86.8 		Best: 952.76 		N:11
House          		Mean: 104.36 		Best: 950.47 		N:9
Guerrero       		Mean: 103.9 		Best: 945.18 		N:9
Oneal          		Mean: 157.36 		Best: 932.68 		N:6
Bradley        		Mean: 155.3 		Best: 923.84 		N:6
Hao            		Mean: 466.86 		Best: 923.63 		N:2
Chavis         		Mean: 458.99 		Best: 923.33 		N:2
Bruner         		Mean: 226.34 		Best: 900.06 		N:4
Elson          		Mean: 129.76 		Best: 900.06 		N:7
Reid           		Mean: 181.68 		Best: 900.06 		N:5
Demond         		Mean: 129.54 		Best: 900.06 		N:7
Deloy          		Mean: 129.8 		Best: 900.06 		N:7
Burnham        		Mean: 181.56 		Best: 900.06 		N:5

########## REPORT GEN: 29 ##########
SPECIES: 
Sullivan       		Mean: 238.04 		Best: 952.76 		N:4
Guerrero       		Mean: 156.69 		Best: 952.56 		N:6
Burnham        		Mean: 231.48 		Best: 945.18 		N:4
Oneal          		Mean: 470.63 		Best: 932.68 		N:2
Chavis         		Mean: 235.21 		Best: 932.68 		N:4
House          		Mean: 133.62 		Best: 932.67 		N:7
Hao            		Mean: 184.93 		Best: 923.84 		N:5
Wright         		Mean: 309.8 		Best: 923.75 		N:3
Bradley        		Mean: 461.64 		Best: 923.28 		N:2
Bruner         		Mean: 151.57 		Best: 900.06 		N:6
Reid           		Mean: 225.65 		Best: 900.06 		N:4
Demond         		Mean: 113.78 		Best: 900.06 		N:8
Deloy          		Mean: 226.45 		Best: 900.06 		N:4

########## REPORT GEN: 30 ##########
SPECIES: 
House          		Mean: 104.34 		Best: 952.76 		N:9
Sullivan       		Mean: 136.66 		Best: 952.56 		N:7
Francour       		Mean: 322.29 		Best: 952.76 		N:3
Hao            		Mean: 133.24 		Best: 932.68 		N:7
Bradley        		Mean: 313.38 		Best: 932.68 		N:3
Elson          		Mean: 130.57 		Best: 932.67 		N:7
Wright         		Mean: 186.12 		Best: 923.75 		N:5
Chavis         		Mean: 234.31 		Best: 923.84 		N:4
Burnham        		Mean: 454.85 		Best: 900.06 		N:2
Bruner         		Mean: 303.29 		Best: 900.06 		N:3
Reid           		Mean: 130.09 		Best: 900.06 		N:7
Demond         		Mean: 181.95 		Best: 900.06 		N:5
Deloy          		Mean: 454.02 		Best: 900.06 		N:2

########## REPORT GEN: 31 ##########
SPECIES: 
Sullivan       		Mean: 138.4 		Best: 952.76 		N:7
Elson          		Mean: 132.12 		Best: 952.76 		N:7
Chavis         		Mean: 189.9 		Best: 952.7 		N:5
Bradley        		Mean: 238.28 		Best: 952.56 		N:4
Hao            		Mean: 187.2 		Best: 932.67 		N:5
Demond         		Mean: 183.23 		Best: 932.67 		N:5
Oneal          		Mean: 155.07 		Best: 923.77 		N:6
House          		Mean: 185.59 		Best: 923.63 		N:5
Burnham        		Mean: 227.75 		Best: 900.06 		N:4
Bruner         		Mean: 130.01 		Best: 900.06 		N:7
Reid           		Mean: 451.08 		Best: 900.06 		N:2
Deloy          		Mean: 453.92 		Best: 900.06 		N:2

########## REPORT GEN: 32 ##########
SPECIES: 
Sullivan       		Mean: 137.99 		Best: 952.76 		N:7
Francour       		Mean: 240.58 		Best: 952.76 		N:4
Hao            		Mean: 310.87 		Best: 938.4 		N:3
Oneal          		Mean: 309.87 		Best: 932.68 		N:3
Bradley        		Mean: 232.28 		Best: 932.67 		N:4
Demond         		Mean: 183.44 		Best: 932.67 		N:5
Bruner         		Mean: 182.82 		Best: 932.67 		N:5
House          		Mean: 233.28 		Best: 923.77 		N:4
Wright         		Mean: 462.76 		Best: 923.28 		N:2
Parmer         		Mean: 461.64 		Best: 923.28 		N:2
Burnham        		Mean: 303.59 		Best: 900.06 		N:3
Reid           		Mean: 302.57 		Best: 900.06 		N:3
Deloy          		Mean: 303.11 		Best: 900.06 		N:3

########## REPORT GEN: 33 ##########
SPECIES: 
Sullivan       		Mean: 190.94 		Best: 952.76 		N:5
Francour       		Mean: 238.05 		Best: 952.56 		N:4
Oneal          		Mean: 233.94 		Best: 938.4 		N:4
