########## REPORT GEN: 2 ##########
SPECIES: 
Curb           		Mean: 112.03 		Best: 906.82 		N:8
Cloutier       		Mean: 69.33 		Best: 906.92 		N:13
Stahlberg      		Mean: 81.02 		Best: 901.81 		N:11
Spence         		Mean: 110.91 		Best: 893.55 		N:8

########## REPORT GEN: 26 ##########
SPECIES: 
Spence         		Mean: 59.74 		Best: 947.19 		N:15
Labrum         		Mean: 64.09 		Best: 931.52 		N:14
Hill           		Mean: 74.66 		Best: 931.52 		N:12
Cloutier       		Mean: 56.27 		Best: 931.52 		N:16
Curb           		Mean: 59.92 		Best: 918.82 		N:15
Griffin        		Mean: 100.28 		Best: 906.91 		N:9
Shaw           		Mean: 81.22 		Best: 906.8 		N:11
Alfaro         		Mean: 148.74 		Best: 905.1 		N:6
Stahlberg      		Mean: 89.4 		Best: 904.31 		N:10
Wininger       		Mean: 64.1 		Best: 906.83 		N:14
Doyle          		Mean: 98.82 		Best: 901.81 		N:9
Rodriguez      		Mean: 80.61 		Best: 897.09 		N:11

########## REPORT GEN: 27 ##########
SPECIES: 
Alfaro         		Mean: 49.6 		Best: 947.19 		N:18
Doyle          		Mean: 89.65 		Best: 947.19 		N:10
Hill           		Mean: 64.17 		Best: 931.52 		N:14
Griffin        		Mean: 59.81 		Best: 931.52 		N:15
Spence         		Mean: 89.94 		Best: 917.1 		N:10
Curb           		Mean: 99.95 		Best: 906.91 		N:9
Wininger       		Mean: 89.64 		Best: 906.8 		N:10
Rodriguez      		Mean: 89.86 		Best: 906.03 		N:10
Cloutier       		Mean: 74.63 		Best: 905.96 		N:12
Shaw           		Mean: 74.61 		Best: 904.31 		N:12
Stahlberg      		Mean: 99.26 		Best: 903.35 		N:9
Labrum         		Mean: 148.46 		Best: 902.51 		N:6

########## REPORT GEN: 28 ##########
SPECIES: 
Alfaro         		Mean: 90.05 		Best: 947.19 		N:10
Curb           		Mean: 64.03 		Best: 947.19 		N:14
Rodriguez      		Mean: 75.01 		Best: 947.19 		N:12
Labrum         		Mean: 56.27 		Best: 938.68 		N:16
Spence         		Mean: 68.86 		Best: 917.1 		N:13
Shaw           		Mean: 59.66 		Best: 905.57 		N:15
Hill           		Mean: 63.89 		Best: 906.8 		N:14
Stahlberg      		Mean: 89.07 		Best: 903.26 		N:10
Cloutier       		Mean: 88.77 		Best: 901.81 		N:10
Doyle          		Mean: 126.8 		Best: 895.76 		N:7
Wininger       		Mean: 126.82 		Best: 891.7 		N:7
Griffin        		Mean: 80.62 		Best: 890.42 		N:11

########## REPORT GEN: 29 ##########
SPECIES: 
Hill           		Mean: 114.08 		Best: 947.19 		N:8
Stahlberg      		Mean: 113.0 		Best: 947.19 		N:8
Wininger       		Mean: 69.62 		Best: 947.19 		N:13
Curb           		Mean: 90.16 		Best: 947.19 		N:10
Cloutier       		Mean: 68.74 		Best: 931.52 		N:13
Spence         		Mean: 52.43 		Best: 907.3 		N:17
Rodriguez      		Mean: 74.39 		Best: 906.92 		N:12
Labrum         		Mean: 63.88 		Best: 906.29 		N:14
Doyle          		Mean: 126.81 		Best: 901.81 		N:7
Griffin        		Mean: 59.18 		Best: 901.81 		N:15
Alfaro         		Mean: 126.92 		Best: 895.76 		N:7
Shaw           		Mean: 73.86 		Best: 892.6 		N:12

########## REPORT GEN: 30 ##########
SPECIES: 
Stahlberg      		Mean: 89.72 		Best: 947.19 		N:10
Cloutier       		Mean: 64.72 		Best: 947.19 		N:14
Labrum         		Mean: 63.9 		Best: 947.19 		N:14
Hill           		Mean: 64.1 		Best: 947.19 		N:14
Curb           		Mean: 69.12 		Best: 931.52 		N:13
Shaw           		Mean: 74.56 		Best: 924.74 		N:12
Rodriguez      		Mean: 89.21 		Best: 907.3 		N:10
Spence         		Mean: 112.11 		Best: 906.91 		N:8
Wininger       		Mean: 74.05 		Best: 906.8 		N:12
Griffin        		Mean: 81.34 		Best: 904.76 		N:11
Alfaro         		Mean: 88.86 		Best: 904.76 		N:10
Doyle          		Mean: 88.66 		Best: 892.52 		N:10

########## REPORT GEN: 31 ##########
SPECIES: 
Labrum         		Mean: 47.32 		Best: 947.19 		N:19
Doyle          		Mean: 81.65 		Best: 947.19 		N:11
Shaw           		Mean: 55.84 		Best: 947.19 		N:16
Wininger       		Mean: 49.6 		Best: 931.52 		N:18
Curb           		Mean: 59.42 		Best: 925.49 		N:15
Alfaro         		Mean: 55.86 		Best: 924.74 		N:16
Rodriguez      		Mean: 127.68 		Best: 907.26 		N:7
Hill           		Mean: 89.54 		Best: 907.11 		N:10
Spence         		Mean: 98.96 		Best: 906.67 		N:9
Stahlberg      		Mean: 127.53 		Best: 906.64 		N:7
Griffin        		Mean: 80.95 		Best: 904.76 		N:11
Cloutier       		Mean: 220.93 		Best: 883.42 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Labrum         		Mean: 112.42 		Best: 947.19 		N:8
Hill           		Mean: 128.93 		Best: 947.19 		N:7
Spence         		Mean: 99.95 		Best: 947.19 		N:9
Curb           		Mean: 82.5 		Best: 947.19 		N:11
Doyle          		Mean: 68.84 		Best: 931.52 		N:13
Alfaro         		Mean: 81.4 		Best: 925.49 		N:11
Shaw           		Mean: 74.28 		Best: 924.74 		N:12
Stahlberg      		Mean: 99.94 		Best: 924.74 		N:9
Cloutier       		Mean: 68.55 		Best: 906.67 		N:13
Rodriguez      		Mean: 89.06 		Best: 905.49 		N:10
