########## REPORT GEN: 2 ##########
SPECIES: 
Bartsch        		Mean: 306.1 		Best: 927.0 		N:3
Myers          		Mean: 230.7 		Best: 927.0 		N:4
Curl           		Mean: 228.37 		Best: 924.3 		N:4
Daughtry       		Mean: 228.92 		Best: 924.3 		N:4
Robinson       		Mean: 153.69 		Best: 924.3 		N:6
Dunaway        		Mean: 183.18 		Best: 924.3 		N:5
Frazier        		Mean: 308.88 		Best: 924.3 		N:3
Horton         		Mean: 225.98 		Best: 900.65 		N:4

########## REPORT GEN: 25 ##########
SPECIES: 
Schaffner      		Mean: 114.78 		Best: 934.99 		N:8
Daughtry       		Mean: 154.14 		Best: 928.41 		N:6
Horton         		Mean: 465.43 		Best: 928.41 		N:2
Myers          		Mean: 131.98 		Best: 927.0 		N:7
Frazier        		Mean: 309.02 		Best: 927.0 		N:3
Goto           		Mean: 307.14 		Best: 924.3 		N:3
Swiger         		Mean: 184.37 		Best: 924.3 		N:5
Moody          		Mean: 114.61 		Best: 924.3 		N:8
Shanklin       		Mean: 227.48 		Best: 900.67 		N:4
Robinson       		Mean: 226.9 		Best: 900.48 		N:4
Bartsch        		Mean: 451.82 		Best: 900.41 		N:2

########## REPORT GEN: 26 ##########
SPECIES: 
Curl           		Mean: 131.7 		Best: 934.99 		N:7
Schaffner      		Mean: 132.02 		Best: 928.41 		N:7
Daughtry       		Mean: 460.27 		Best: 928.41 		N:2
Horton         		Mean: 465.52 		Best: 928.41 		N:2
Frazier        		Mean: 229.22 		Best: 927.0 		N:4
Goto           		Mean: 229.32 		Best: 927.0 		N:4
Moody          		Mean: 232.24 		Best: 927.0 		N:4
Robinson       		Mean: 230.75 		Best: 927.0 		N:4
Dunaway        		Mean: 154.36 		Best: 924.3 		N:6
Swiger         		Mean: 153.94 		Best: 924.07 		N:6
Myers          		Mean: 227.06 		Best: 900.82 		N:4
Shanklin       		Mean: 300.83 		Best: 900.41 		N:3

########## REPORT GEN: 27 ##########
SPECIES: 
Shanklin       		Mean: 103.12 		Best: 934.99 		N:9
Horton         		Mean: 185.04 		Best: 928.41 		N:5
Moody          		Mean: 230.47 		Best: 928.41 		N:4
Swiger         		Mean: 114.17 		Best: 928.41 		N:8
Curl           		Mean: 230.66 		Best: 927.0 		N:4
Goto           		Mean: 115.09 		Best: 928.41 		N:8
Robinson       		Mean: 184.15 		Best: 927.0 		N:5
Dunaway        		Mean: 115.35 		Best: 927.0 		N:8
Myers          		Mean: 130.02 		Best: 924.3 		N:7
Frazier        		Mean: 303.55 		Best: 924.23 		N:3
Daughtry       		Mean: 451.45 		Best: 900.39 		N:2
Schaffner      		Mean: 227.54 		Best: 900.48 		N:4

########## REPORT GEN: 28 ##########
SPECIES: 
Curl           		Mean: 115.15 		Best: 934.99 		N:8
Robinson       		Mean: 228.97 		Best: 934.99 		N:4
Schaffner      		Mean: 83.74 		Best: 928.7 		N:11
Moody          		Mean: 131.45 		Best: 928.41 		N:7
Swiger         		Mean: 182.65 		Best: 928.41 		N:5
Myers          		Mean: 311.78 		Best: 928.41 		N:3
Horton         		Mean: 228.69 		Best: 927.0 		N:4
Dunaway        		Mean: 84.07 		Best: 927.0 		N:11
Daughtry       		Mean: 228.84 		Best: 927.0 		N:4
Goto           		Mean: 152.34 		Best: 924.3 		N:6
Shanklin       		Mean: 226.04 		Best: 900.41 		N:4
Frazier        		Mean: 300.76 		Best: 900.39 		N:3

########## REPORT GEN: 29 ##########
SPECIES: 
