########## REPORT GEN: 2 ##########
SPECIES: 
Bradley        		Mean: 56.62 		Best: 690.54 		N:7
Korando        		Mean: 55.15 		Best: 628.14 		N:8
Valliere       		Mean: 112.91 		Best: 627.31 		N:4
Manuel         		Mean: 249.63 		Best: 606.85 		N:2
Strawn         		Mean: 83.97 		Best: 573.72 		N:5

########## REPORT GEN: 22 ##########
SPECIES: 
Strawn         		Mean: 300.92 		Best: 1124.55 		N:3
Brown          		Mean: 96.71 		Best: 1123.51 		N:5
Jessup         		Mean: 94.12 		Best: 1121.71 		N:6
Burmeister     		Mean: 84.82 		Best: 1108.27 		N:7
Smith          		Mean: 164.43 		Best: 1105.57 		N:5
Jones          		Mean: 208.83 		Best: 1099.67 		N:3
Gallo          		Mean: 142.91 		Best: 1096.33 		N:5
Rincon         		Mean: 65.61 		Best: 939.08 		N:10
Bradley        		Mean: 95.04 		Best: 932.37 		N:6
Korando        		Mean: 352.9 		Best: 788.48 		N:2
Valliere       		Mean: 82.59 		Best: 750.06 		N:6
Miller         		Mean: 79.03 		Best: 744.35 		N:7
Thompson       		Mean: 65.67 		Best: 637.74 		N:7
Manuel         		Mean: 78.07 		Best: 627.95 		N:6
Williams       		Mean: 43.41 		Best: 587.94 		N:8
George         		Mean: 134.06 		Best: 581.6 		N:3
Wells          		Mean: 221.03 		Best: 498.54 		N:2

########## REPORT GEN: 23 ##########
SPECIES: 
Valliere       		Mean: 136.71 		Best: 1187.72 		N:5
Korando        		Mean: 85.75 		Best: 1124.55 		N:7
Jones          		Mean: 184.67 		Best: 1123.81 		N:5
Brown          		Mean: 70.29 		Best: 1123.72 		N:8
Williams       		Mean: 69.34 		Best: 1120.11 		N:8
Strawn         		Mean: 132.6 		Best: 1120.08 		N:5
Manuel         		Mean: 92.05 		Best: 1119.88 		N:6
Jessup         		Mean: 94.51 		Best: 1110.72 		N:6
George         		Mean: 108.3 		Best: 954.08 		N:5
Smith          		Mean: 191.93 		Best: 930.38 		N:3
Rockwell       		Mean: 130.67 		Best: 795.42 		N:4
Bradley        		Mean: 121.42 		Best: 788.86 		N:4
Wells          		Mean: 57.74 		Best: 629.11 		N:7
Miller         		Mean: 70.29 		Best: 627.49 		N:6
Rincon         		Mean: 74.94 		Best: 590.71 		N:5
Gallo          		Mean: 191.88 		Best: 384.06 		N:2

########## REPORT GEN: 24 ##########
SPECIES: 
Wells          		Mean: 79.97 		Best: 1138.01 		N:8
Gallo          		Mean: 68.98 		Best: 1127.77 		N:9
Bradley        		Mean: 94.81 		Best: 1124.24 		N:7
Brown          		Mean: 262.38 		Best: 1118.74 		N:3
Manuel         		Mean: 125.85 		Best: 1116.43 		N:6
Jessup         		Mean: 115.01 		Best: 1098.08 		N:6
Strawn         		Mean: 181.36 		Best: 1096.61 		N:4
Valliere       		Mean: 85.48 		Best: 935.0 		N:6
Burmeister     		Mean: 78.85 		Best: 813.14 		N:6
Williams       		Mean: 121.6 		Best: 791.16 		N:4
Smith          		Mean: 62.38 		Best: 694.29 		N:8
Thompson       		Mean: 84.49 		Best: 629.05 		N:5
Jones          		Mean: 176.97 		Best: 627.83 		N:3
Korando        		Mean: 72.12 		Best: 581.78 		N:5
Rincon         		Mean: 115.68 		Best: 499.04 		N:3
George         		Mean: 191.74 		Best: 385.41 		N:2
Rockwell       		Mean: 126.86 		Best: 383.25 		N:3
Miller         		Mean: 79.5 		Best: 383.17 		N:4

########## REPORT GEN: 25 ##########
SPECIES: 
Manuel         		Mean: 171.71 		Best: 1125.97 		N:4
Korando        		Mean: 84.42 		Best: 1118.89 		N:5
Strawn         		Mean: 55.84 		Best: 1116.92 		N:9
Williams       		Mean: 86.04 		Best: 1113.7 		N:6
Thompson       		Mean: 87.43 		Best: 1111.77 		N:6
Rincon         		Mean: 135.81 		Best: 1106.94 		N:4
Jessup         		Mean: 61.39 		Best: 1102.58 		N:10
George         		Mean: 156.51 		Best: 1071.81 		N:5
Burmeister     		Mean: 56.43 		Best: 935.75 		N:10
Rockwell       		Mean: 123.35 		Best: 816.04 		N:4
Miller         		Mean: 44.91 		Best: 813.99 		N:10
Wells          		Mean: 349.82 		Best: 791.96 		N:2
Smith          		Mean: 35.42 		Best: 645.71 		N:8
Brown          		Mean: 53.57 		Best: 598.67 		N:9
Bradley        		Mean: 163.04 		Best: 591.72 		N:3
Valliere       		Mean: 91.65 		Best: 477.66 		N:4
Gallo          		Mean: 41.12 		Best: 381.78 		N:6

########## REPORT GEN: 26 ##########
SPECIES: 
Burmeister     		Mean: 117.65 		Best: 1127.67 		N:6
Wells          		Mean: 152.02 		Best: 1116.69 		N:5
Bradley        		Mean: 69.46 		Best: 1108.03 		N:8
Manuel         		Mean: 97.63 		Best: 1107.72 		N:5
Valliere       		Mean: 126.32 		Best: 1101.69 		N:5
Korando        		Mean: 41.11 		Best: 1098.98 		N:11
Thompson       		Mean: 179.68 		Best: 1098.19 		N:4
Rincon         		Mean: 207.13 		Best: 1094.65 		N:3
Smith          		Mean: 90.13 		Best: 944.56 		N:6
Jones          		Mean: 81.06 		Best: 935.25 		N:7
Strawn         		Mean: 78.97 		Best: 871.53 		N:6
Brown          		Mean: 34.87 		Best: 767.31 		N:10
Williams       		Mean: 70.52 		Best: 653.26 		N:6
Miller         		Mean: 52.99 		Best: 598.85 		N:8
Gallo          		Mean: 72.25 		Best: 598.49 		N:5
Jessup         		Mean: 132.62 		Best: 378.45 		N:2
George         		Mean: 119.72 		Best: 358.44 		N:2

########## REPORT GEN: 27 ##########
SPECIES: 
Bradley        		Mean: 52.23 		Best: 1126.6 		N:8
Brown          		Mean: 96.58 		Best: 1124.47 		N:5
George         		Mean: 60.22 		Best: 1122.53 		N:9
Jones          		Mean: 41.32 		Best: 1116.5 		N:13
Jessup         		Mean: 64.53 		Best: 1116.39 		N:9
Wells          		Mean: 107.32 		Best: 1110.17 		N:5
Burmeister     		Mean: 45.02 		Best: 1109.06 		N:8
Thompson       		Mean: 106.2 		Best: 1071.12 		N:5
Williams       		Mean: 74.37 		Best: 995.32 		N:7
Rincon         		Mean: 79.37 		Best: 910.02 		N:5
Korando        		Mean: 77.5 		Best: 871.51 		N:6
Manuel         		Mean: 81.97 		Best: 766.34 		N:5
Gallo          		Mean: 55.5 		Best: 763.87 		N:8
Valliere       		Mean: 69.14 		Best: 645.15 		N:5
Miller         		Mean: 85.62 		Best: 598.42 		N:5
Smith          		Mean: 106.29 		Best: 596.16 		N:4
Strawn         		Mean: 52.25 		Best: 356.88 		N:6

########## REPORT GEN: 28 ##########
SPECIES: 
Brown          		Mean: 76.64 		Best: 1126.9 		N:7
Miller         		Mean: 43.09 		Best: 1125.74 		N:11
Bradley        		Mean: 75.57 		Best: 1124.97 		N:8
Wells          		Mean: 41.4 		Best: 1124.75 		N:11
Smith          		Mean: 53.2 		Best: 1123.93 		N:10
Korando        		Mean: 23.22 		Best: 1122.78 		N:17
Rincon         		Mean: 74.08 		Best: 1104.69 		N:8
George         		Mean: 49.43 		Best: 1091.29 		N:10
Gallo          		Mean: 69.41 		Best: 1071.64 		N:6
Manuel         		Mean: 84.17 		Best: 995.83 		N:6
Valliere       		Mean: 38.59 		Best: 764.26 		N:10
Jessup         		Mean: 52.77 		Best: 600.62 		N:5
Thompson       		Mean: 35.81 		Best: 598.45 		N:12
Strawn         		Mean: 144.77 		Best: 517.15 		N:3
Jones          		Mean: 68.82 		Best: 499.16 		N:4
