########## REPORT GEN: 2 ##########
SPECIES: 
Whittingham    		Mean: 82.87 		Best: 903.59 		N:11
Walker         		Mean: 226.89 		Best: 900.22 		N:4
Necaise        		Mean: 129.89 		Best: 900.22 		N:7
Smith          		Mean: 451.4 		Best: 900.15 		N:2
Garza          		Mean: 451.53 		Best: 900.15 		N:2
Wyatt          		Mean: 113.71 		Best: 900.22 		N:8

########## REPORT GEN: 25 ##########
SPECIES: 
Duncan         		Mean: 101.74 		Best: 934.4 		N:9
Necaise        		Mean: 91.74 		Best: 934.4 		N:10
Garza          		Mean: 184.9 		Best: 934.4 		N:5
Ernest         		Mean: 182.34 		Best: 919.51 		N:5
Reid           		Mean: 113.75 		Best: 909.11 		N:8
Walker         		Mean: 113.8 		Best: 909.11 		N:8
Smith          		Mean: 226.92 		Best: 900.54 		N:4
Eddings        		Mean: 151.72 		Best: 900.24 		N:6
Freeney        		Mean: 181.6 		Best: 900.23 		N:5
Whittingham    		Mean: 300.87 		Best: 900.15 		N:3
Wyatt          		Mean: 450.58 		Best: 900.11 		N:2
Maciel         		Mean: 129.97 		Best: 900.17 		N:7

########## REPORT GEN: 26 ##########
SPECIES: 
Ernest         		Mean: 228.98 		Best: 934.4 		N:4
Wyatt          		Mean: 184.65 		Best: 934.4 		N:5
Maciel         		Mean: 101.89 		Best: 929.58 		N:9
Walker         		Mean: 228.01 		Best: 919.51 		N:4
Eddings        		Mean: 130.22 		Best: 919.51 		N:7
Smith          		Mean: 91.32 		Best: 919.44 		N:10
Whittingham    		Mean: 227.45 		Best: 909.11 		N:4
Necaise        		Mean: 227.42 		Best: 900.34 		N:4
Reid           		Mean: 130.21 		Best: 900.37 		N:7
Duncan         		Mean: 227.11 		Best: 900.17 		N:4
Garza          		Mean: 151.4 		Best: 900.12 		N:6
Freeney        		Mean: 113.64 		Best: 900.22 		N:8

########## REPORT GEN: 27 ##########
SPECIES: 
Walker         		Mean: 101.28 		Best: 934.4 		N:9
Reid           		Mean: 83.62 		Best: 934.4 		N:11
Ernest         		Mean: 101.88 		Best: 929.58 		N:9
Smith          		Mean: 101.28 		Best: 919.47 		N:9
Garza          		Mean: 101.5 		Best: 919.44 		N:9
Maciel         		Mean: 113.95 		Best: 909.11 		N:8
Wyatt          		Mean: 130.06 		Best: 900.26 		N:7
Duncan         		Mean: 300.93 		Best: 900.15 		N:3
Eddings        		Mean: 129.27 		Best: 900.13 		N:7
Whittingham    		Mean: 451.01 		Best: 900.12 		N:2
Freeney        		Mean: 303.28 		Best: 900.11 		N:3
Necaise        		Mean: 181.61 		Best: 900.34 		N:5

########## REPORT GEN: 28 ##########
SPECIES: 
Reid           		Mean: 463.39 		Best: 934.4 		N:2
Duncan         		Mean: 183.82 		Best: 934.4 		N:5
Smith          		Mean: 113.87 		Best: 929.58 		N:8
Ernest         		Mean: 101.29 		Best: 919.47 		N:9
Freeney        		Mean: 129.71 		Best: 909.11 		N:7
Wyatt          		Mean: 302.98 		Best: 900.23 		N:3
Walker         		Mean: 227.62 		Best: 900.17 		N:4
Necaise        		Mean: 151.58 		Best: 900.29 		N:6
Whittingham    		Mean: 151.13 		Best: 900.34 		N:6
Eddings        		Mean: 113.82 		Best: 900.39 		N:8
Garza          		Mean: 302.95 		Best: 900.15 		N:3

########## REPORT GEN: 29 ##########
SPECIES: 
Reid           		Mean: 231.82 		Best: 934.4 		N:4
Smith          		Mean: 231.82 		Best: 934.4 		N:4
Eddings        		Mean: 229.44 		Best: 929.58 		N:4
Garza          		Mean: 130.59 		Best: 919.47 		N:7
Whittingham    		Mean: 113.92 		Best: 909.11 		N:8
Duncan         		Mean: 151.54 		Best: 900.11 		N:6
Necaise        		Mean: 451.32 		Best: 900.09 		N:2
Wyatt          		Mean: 129.72 		Best: 900.13 		N:7
Freeney        		Mean: 301.86 		Best: 900.08 		N:3
Ernest         		Mean: 227.42 		Best: 900.08 		N:4
Maciel         		Mean: 227.22 		Best: 900.08 		N:4
Walker         		Mean: 303.0 		Best: 900.17 		N:3

########## REPORT GEN: 30 ##########
SPECIES: 
