########## REPORT GEN: 2 ##########
SPECIES: 
Cassidy        		Mean: 69.97 		Best: 911.02 		N:13
Hess           		Mean: 130.06 		Best: 910.17 		N:7
Livezey        		Mean: 302.94 		Best: 905.26 		N:3
White          		Mean: 130.0 		Best: 903.17 		N:7
Ross           		Mean: 303.83 		Best: 903.17 		N:3
Heminger       		Mean: 151.64 		Best: 902.61 		N:6
Maisonet       		Mean: 113.76 		Best: 902.58 		N:8
Felipe         		Mean: 227.22 		Best: 900.72 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Bell           		Mean: 152.5 		Best: 915.87 		N:6
Hess           		Mean: 152.24 		Best: 915.87 		N:6
White          		Mean: 114.24 		Best: 915.87 		N:8
Maisonet       		Mean: 130.68 		Best: 915.87 		N:7
Felipe         		Mean: 101.32 		Best: 915.87 		N:9
Saavedra       		Mean: 101.5 		Best: 911.02 		N:9
Livezey        		Mean: 130.01 		Best: 905.26 		N:7
Heminger       		Mean: 181.89 		Best: 905.26 		N:5
Berrios        		Mean: 182.25 		Best: 903.17 		N:5
Rehkop         		Mean: 151.89 		Best: 903.17 		N:6
Cassidy        		Mean: 226.17 		Best: 900.73 		N:4
Ross           		Mean: 453.71 		Best: 900.5 		N:2
Chang          		Mean: 151.1 		Best: 900.55 		N:6

########## REPORT GEN: 30 ##########
SPECIES: 
Hess           		Mean: 182.37 		Best: 915.87 		N:5
Maisonet       		Mean: 101.12 		Best: 915.87 		N:9
Felipe         		Mean: 304.51 		Best: 915.87 		N:3
Saavedra       		Mean: 91.24 		Best: 915.87 		N:10
Livezey        		Mean: 100.98 		Best: 915.87 		N:9
Berrios        		Mean: 114.02 		Best: 915.87 		N:8
Chang          		Mean: 130.28 		Best: 915.87 		N:7
Cassidy        		Mean: 130.24 		Best: 911.02 		N:7
Rehkop         		Mean: 454.96 		Best: 903.17 		N:2
Heminger       		Mean: 226.53 		Best: 900.55 		N:4
White          		Mean: 226.54 		Best: 900.49 		N:4
Bell           		Mean: 180.74 		Best: 900.5 		N:5
Ross           		Mean: 225.66 		Best: 900.52 		N:4

########## REPORT GEN: 31 ##########
SPECIES: 
Hess           		Mean: 228.24 		Best: 915.87 		N:4
Maisonet       		Mean: 91.17 		Best: 915.87 		N:10
Livezey        		Mean: 130.09 		Best: 915.87 		N:7
Cassidy        		Mean: 91.55 		Best: 915.87 		N:10
Rehkop         		Mean: 457.25 		Best: 915.87 		N:2
Berrios        		Mean: 129.43 		Best: 905.26 		N:7
Saavedra       		Mean: 113.32 		Best: 900.67 		N:8
Chang          		Mean: 151.25 		Best: 900.5 		N:6
Bell           		Mean: 226.69 		Best: 900.55 		N:4
Heminger       		Mean: 452.83 		Best: 900.49 		N:2
Felipe         		Mean: 226.59 		Best: 900.47 		N:4
Ross           		Mean: 100.73 		Best: 900.49 		N:9
White          		Mean: 227.29 		Best: 902.61 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Maisonet       		Mean: 182.3 		Best: 915.87 		N:5
Livezey        		Mean: 227.98 		Best: 915.87 		N:4
Rehkop         		Mean: 130.12 		Best: 915.87 		N:7
Saavedra       		Mean: 151.91 		Best: 915.87 		N:6
Chang          		Mean: 130.51 		Best: 915.87 		N:7
Bell           		Mean: 152.43 		Best: 915.87 		N:6
Hess           		Mean: 181.8 		Best: 905.26 		N:5
Cassidy        		Mean: 113.65 		Best: 900.72 		N:8
Heminger       		Mean: 181.1 		Best: 900.67 		N:5
Felipe         		Mean: 301.76 		Best: 900.46 		N:3
Berrios        		Mean: 180.98 		Best: 900.46 		N:5
White          		Mean: 129.57 		Best: 900.51 		N:7
Ross           		Mean: 301.93 		Best: 900.45 		N:3

########## REPORT GEN: 33 ##########
SPECIES: 
Maisonet       		Mean: 182.2 		Best: 915.87 		N:5
Saavedra       		Mean: 129.96 		Best: 915.87 		N:7
Berrios        		Mean: 130.02 		Best: 915.87 		N:7
White          		Mean: 75.87 		Best: 915.87 		N:12
Ross           		Mean: 304.64 		Best: 915.87 		N:3
Heminger       		Mean: 181.94 		Best: 905.26 		N:5
Livezey        		Mean: 303.13 		Best: 903.26 		N:3
Chang          		Mean: 82.39 		Best: 900.59 		N:11
Rehkop         		Mean: 100.8 		Best: 900.54 		N:9
Bell           		Mean: 150.82 		Best: 900.44 		N:6
Felipe         		Mean: 181.25 		Best: 900.55 		N:5
Hess           		Mean: 180.95 		Best: 900.45 		N:5
Cassidy        		Mean: 301.15 		Best: 900.41 		N:3

########## REPORT GEN: 34 ##########
SPECIES: 
Maisonet       		Mean: 113.45 		Best: 915.87 		N:8
Saavedra       		Mean: 182.17 		Best: 915.87 		N:5
White          		Mean: 113.51 		Best: 915.87 		N:8
Ross           		Mean: 129.94 		Best: 915.87 		N:7
Chang          		Mean: 130.1 		Best: 915.87 		N:7
Berrios        		Mean: 181.62 		Best: 905.26 		N:5
Livezey        		Mean: 226.82 		Best: 905.26 		N:4
Rehkop         		Mean: 227.23 		Best: 903.26 		N:4
Felipe         		Mean: 151.38 		Best: 903.26 		N:6
Hess           		Mean: 100.82 		Best: 903.26 		N:9
Bell           		Mean: 151.4 		Best: 900.72 		N:6
Cassidy        		Mean: 151.12 		Best: 900.49 		N:6
Heminger       		Mean: 451.2 		Best: 900.45 		N:2

########## REPORT GEN: 35 ##########
SPECIES: 
Rehkop         		Mean: 130.49 		Best: 915.87 		N:7
White          		Mean: 182.17 		Best: 915.87 		N:5
Felipe         		Mean: 182.13 		Best: 915.87 		N:5
Cassidy        		Mean: 101.59 		Best: 915.87 		N:9
Hess           		Mean: 82.63 		Best: 905.26 		N:11
Livezey        		Mean: 181.44 		Best: 903.26 		N:5
Maisonet       		Mean: 150.7 		Best: 900.72 		N:6
Saavedra       		Mean: 451.58 		Best: 900.59 		N:2
Ross           		Mean: 129.21 		Best: 900.46 		N:7
Bell           		Mean: 129.37 		Best: 900.46 		N:7
Chang          		Mean: 301.99 		Best: 900.44 		N:3
Berrios        		Mean: 452.82 		Best: 900.43 		N:2
Heminger       		Mean: 180.18 		Best: 900.43 		N:5

########## REPORT GEN: 36 ##########
SPECIES: 
Rehkop         		Mean: 100.89 		Best: 915.87 		N:9
Cassidy        		Mean: 113.83 		Best: 915.87 		N:8
Hess           		Mean: 304.53 		Best: 915.87 		N:3
Bell           		Mean: 151.49 		Best: 915.87 		N:6
Heminger       		Mean: 227.72 		Best: 915.87 		N:4
Chang          		Mean: 182.03 		Best: 910.17 		N:5
Livezey        		Mean: 181.29 		Best: 906.5 		N:5
